Epoch 001 | TrainLoss 1.8958 Acc 0.5314 | ValLoss 0.8028 Acc 0.5806 | Best 0.5806
Epoch 002 | TrainLoss 0.6419 Acc 0.6743 | ValLoss 0.6812 Acc 0.5161 | Best 0.5806
Epoch 003 | TrainLoss 0.5792 Acc 0.7371 | ValLoss 0.7304 Acc 0.5806 | Best 0.5806
Epoch 004 | TrainLoss 0.5254 Acc 0.7771 | ValLoss 0.6923 Acc 0.5806 | Best 0.5806
Epoch 005 | TrainLoss 0.4651 Acc 0.8229 | ValLoss 0.5671 Acc 0.6774 | Best 0.6774
Epoch 006 | TrainLoss 0.4663 Acc 0.8457 | ValLoss 0.5288 Acc 0.6774 | Best 0.6774
Epoch 007 | TrainLoss 0.4297 Acc 0.8514 | ValLoss 0.5607 Acc 0.7419 | Best 0.7419
Epoch 008 | TrainLoss 0.4499 Acc 0.8457 | ValLoss 0.5152 Acc 0.7742 | Best 0.7742
Epoch 009 | TrainLoss 0.3714 Acc 0.8971 | ValLoss 0.4973 Acc 0.7419 | Best 0.7742
Epoch 010 | TrainLoss 0.3270 Acc 0.9429 | ValLoss 0.4685 Acc 0.7742 | Best 0.7742
Epoch 011 | TrainLoss 0.2815 Acc 0.9714 | ValLoss 0.4353 Acc 0.7742 | Best 0.7742
Epoch 012 | TrainLoss 0.2616 Acc 0.9771 | ValLoss 0.4521 Acc 0.8387 | Best 0.8387
Epoch 013 | TrainLoss 0.2531 Acc 0.9829 | ValLoss 0.4263 Acc 0.8387 | Best 0.8387
Epoch 014 | TrainLoss 0.2453 Acc 0.9829 | ValLoss 0.4794 Acc 0.8387 | Best 0.8387
Epoch 015 | TrainLoss 0.2526 Acc 0.9714 | ValLoss 0.4243 Acc 0.8065 | Best 0.8387
Epoch 016 | TrainLoss 0.2332 Acc 0.9943 | ValLoss 0.4032 Acc 0.8710 | Best 0.8710
Epoch 017 | TrainLoss 0.2284 Acc 1.0000 | ValLoss 0.3804 Acc 0.8710 | Best 0.8710
Epoch 018 | TrainLoss 0.2396 Acc 0.9886 | ValLoss 0.3640 Acc 0.9032 | Best 0.9032
Epoch 019 | TrainLoss 0.2283 Acc 0.9943 | ValLoss 0.4156 Acc 0.8710 | Best 0.9032
Epoch 020 | TrainLoss 0.2216 Acc 1.0000 | ValLoss 0.4334 Acc 0.8387 | Best 0.9032
Epoch 021 | TrainLoss 0.2195 Acc 1.0000 | ValLoss 0.4488 Acc 0.8387 | Best 0.9032
Epoch 022 | TrainLoss 0.2254 Acc 1.0000 | ValLoss 0.4347 Acc 0.8387 | Best 0.9032
Epoch 023 | TrainLoss 0.2272 Acc 0.9886 | ValLoss 0.5366 Acc 0.8065 | Best 0.9032
Epoch 024 | TrainLoss 0.2198 Acc 1.0000 | ValLoss 0.4298 Acc 0.8387 | Best 0.9032
Epoch 025 | TrainLoss 0.2173 Acc 1.0000 | ValLoss 0.3855 Acc 0.8387 | Best 0.9032
Epoch 026 | TrainLoss 0.2201 Acc 0.9943 | ValLoss 0.4134 Acc 0.8387 | Best 0.9032
Epoch 027 | TrainLoss 0.2162 Acc 1.0000 | ValLoss 0.4366 Acc 0.8387 | Best 0.9032
Epoch 028 | TrainLoss 0.2121 Acc 1.0000 | ValLoss 0.4359 Acc 0.8387 | Best 0.9032
Epoch 029 | TrainLoss 0.2159 Acc 1.0000 | ValLoss 0.4150 Acc 0.8387 | Best 0.9032
Epoch 030 | TrainLoss 0.2116 Acc 1.0000 | ValLoss 0.4108 Acc 0.8387 | Best 0.9032
Epoch 031 | TrainLoss 0.2179 Acc 1.0000 | ValLoss 0.4124 Acc 0.8387 | Best 0.9032
Epoch 032 | TrainLoss 0.2135 Acc 1.0000 | ValLoss 0.4471 Acc 0.8387 | Best 0.9032
Epoch 001 | TrainLoss 0.6679 Acc 0.5771 | ValLoss 0.6707 Acc 0.5484 | Best 0.5484
Epoch 002 | TrainLoss 0.5291 Acc 0.7657 | ValLoss 0.6284 Acc 0.6129 | Best 0.6129
