real,predicho,probabilidad_robo,probabilidad_no_robo
1,1,0.9586217,0.041378267
1,1,0.9960283,0.0039717723
1,1,0.6972183,0.30278167
1,1,0.927678,0.072321974
1,1,0.93978035,0.060219716
1,1,0.83521557,0.16478445
1,1,0.9650181,0.03498195
1,1,0.60230976,0.39769027
1,1,0.6457052,0.35429478
1,1,0.9450166,0.054983437
1,1,0.93469906,0.06530093
1,1,0.95263016,0.047369808
1,1,0.98097515,0.019024782
1,1,0.64774233,0.3522576
1,1,0.6775724,0.32242757
1,0,0.41238266,0.58761734
1,1,0.9393417,0.06065833
1,1,0.7066935,0.29330653
1,1,0.7125767,0.28742337
1,1,0.82769084,0.1723091
1,1,0.69625545,0.30374455
1,1,0.9712024,0.028797572
1,1,0.92454076,0.07545921
1,1,0.99263364,0.0073663592
1,1,0.99901366,0.0009863211
1,1,0.9103234,0.08967666
1,1,0.97240573,0.02759425
0,1,0.96992254,0.030077426
0,0,0.05453001,0.94547004
0,0,0.01312817,0.98687184
0,1,0.9341783,0.065821745
0,1,0.52402496,0.47597504
0,1,0.9654614,0.034538593
0,0,0.2950252,0.70497483
0,0,0.43313748,0.5668626
0,0,0.036382306,0.9636177
0,1,0.51862943,0.48137054
0,0,0.09137484,0.9086251
0,0,0.07078927,0.9292107
0,1,0.9218837,0.07811631
0,0,0.4242107,0.57578933
0,0,0.24229163,0.7577084
0,0,0.13732702,0.862673
0,1,0.8925764,0.107423626
0,0,0.15635501,0.84364504
0,0,0.0756449,0.92435515
0,0,0.06608942,0.93391055
0,1,0.96075606,0.03924397
0,0,0.05998285,0.94001716
0,0,0.1284498,0.8715502
0,0,0.15548891,0.8445111
0,0,0.0048241215,0.99517584
0,0,0.044927217,0.9550728
0,0,0.118765466,0.8812345
