real,predicho,probabilidad_robo,probabilidad_no_robo
0,1,0.97544414,0.024555823
0,0,2.48424e-05,0.9999752
0,0,0.044538688,0.95546126
0,0,0.33143458,0.6685654
0,1,0.59857285,0.40142718
0,0,7.807581e-05,0.9999219
0,1,0.79758763,0.20241234
0,0,0.29455835,0.70544165
0,0,0.3989871,0.6010128
0,0,0.030679502,0.9693205
0,0,0.040953398,0.9590466
0,0,0.011706584,0.9882934
0,1,0.6200742,0.37992582
0,0,0.49521297,0.504787
0,0,0.27243719,0.72756284
0,0,0.13348842,0.8665115
0,0,0.02792216,0.97207785
0,0,0.0029095018,0.99709046
0,0,0.22448,0.77552
0,0,0.033278726,0.9667213
0,0,0.06422051,0.93577945
0,0,0.1699753,0.83002466
0,0,0.02904816,0.9709518
0,0,0.304813,0.695187
0,1,0.90610236,0.09389762
0,1,0.5266916,0.47330835
0,0,0.17799091,0.82200915
1,1,0.97837585,0.021624172
1,1,0.9697383,0.030261623
1,0,0.37762994,0.62237
1,1,0.94129896,0.05870107
1,1,0.6613054,0.33869454
1,1,0.92684275,0.07315723
1,1,0.6295967,0.37040332
1,1,0.8641265,0.13587353
1,1,0.5945779,0.40542212
1,1,0.82534534,0.17465468
1,1,0.90883,0.091170035
1,0,0.4645926,0.5354074
1,1,0.9994412,0.0005587435
1,1,0.6494264,0.35057366
1,0,0.37746292,0.622537
1,1,0.74018925,0.25981072
1,1,0.8511841,0.14881581
1,0,0.3146346,0.6853654
1,1,0.8965164,0.10348363
1,1,0.9750083,0.024991617
1,1,0.967073,0.032926936
1,1,0.9449132,0.055086818
1,1,0.9987508,0.001249156
1,1,0.69016945,0.30983052
1,1,0.9991291,0.00087094534
1,0,0.2872448,0.71275514
1,1,0.99196166,0.008038308
