timestamp,video,modelo,frames_procesados,duracion_sec,latencia_inferencia_ms,latencia_total_ms,fps_promedio,frames_con_arma,tp_video,recall_video
2025-12-04T18:28:22,01_Pistola_Movimiento_Caminando.mp4,YOLOv8n,149,5.6,6.65,6.69,26.01,6,1,1.0
2025-12-04T18:28:22,01_Pistola_Movimiento_Caminando.mp4,YOLOv8x,149,5.6,30.77,30.81,26.01,9,1,1.0
2025-12-04T18:28:35,02_Sentado_Sofa_Pistola_Distancia.mp4,YOLOv8n,342,12.2,5.11,5.15,28.03,0,0,0.0
2025-12-04T18:28:35,02_Sentado_Sofa_Pistola_Distancia.mp4,YOLOv8x,342,12.2,30.04,30.08,28.03,33,1,1.0
2025-12-04T18:28:47,03_Pistola_Movimiento_Ambas_Manos.mp4,YOLOv8n,324,12.03,6.09,6.17,26.93,218,1,1.0
2025-12-04T18:28:47,03_Pistola_Movimiento_Ambas_Manos.mp4,YOLOv8x,324,12.03,30.35,30.44,26.93,210,1,1.0
2025-12-04T18:28:59,04_Sentado_Pistola_Guantes_Negros_Brazo_Izquierdo.mp4,YOLOv8n,345,12.76,5.97,6.03,27.04,89,1,1.0
2025-12-04T18:28:59,04_Sentado_Pistola_Guantes_Negros_Brazo_Izquierdo.mp4,YOLOv8x,345,12.76,30.36,30.43,27.04,82,1,1.0
2025-12-04T18:29:11,05_Pistola_Guantes_Negros_Brazo_Izquierdo.mp4,YOLOv8n,321,12.01,6.14,6.22,26.72,251,1,1.0
2025-12-04T18:29:11,05_Pistola_Guantes_Negros_Brazo_Izquierdo.mp4,YOLOv8x,321,12.01,30.61,30.7,26.72,289,1,1.0
