timestamp,video,modelo,frames_procesados,duracion_sec,latencia_inferencia_ms,latencia_total_ms,fps_promedio,falsos_positivos,fp_por_minuto
2025-12-04T18:18:58,01_Oclusion_Parcial_Mochila_Con_Control_Remoto.mp4,YOLOv8n,622,23.98,7.33,7.37,25.94,4,10.01
2025-12-04T18:18:58,01_Oclusion_Parcial_Mochila_Con_Control_Remoto.mp4,YOLOv8x,622,23.98,30.59,30.64,25.94,1,2.5
2025-12-04T18:19:12,02_Persona_Sentada_Sin_Arma.mp4,YOLOv8n,377,14.74,5.17,5.21,25.57,0,0.0
2025-12-04T18:19:12,02_Persona_Sentada_Sin_Arma.mp4,YOLOv8x,377,14.74,33.55,33.6,25.57,0,0.0
2025-12-04T18:19:36,03_Manos_Guantes_Negros_Sin_Arma.mp4,YOLOv8n,647,23.26,5.23,5.27,27.81,2,5.16
2025-12-04T18:19:36,03_Manos_Guantes_Negros_Sin_Arma.mp4,YOLOv8x,647,23.26,30.11,30.15,27.81,0,0.0
2025-12-04T18:19:59,04_Sentado_Celular_Escribiendo.mp4,YOLOv8n,643,23.15,5.24,5.28,27.78,0,0.0
2025-12-04T18:19:59,04_Sentado_Celular_Escribiendo.mp4,YOLOv8x,643,23.15,30.16,30.21,27.78,0,0.0
2025-12-04T18:20:17,05_Personas_Caminando.mp4,YOLOv8n,468,18.34,5.06,5.1,25.52,0,0.0
2025-12-04T18:20:17,05_Personas_Caminando.mp4,YOLOv8x,468,18.34,33.8,33.86,25.52,0,0.0
