timestamp,video,modelo,frames_procesados,duracion_sec,latencia_inferencia_ms,latencia_total_ms,fps_promedio,frames_con_arma,tp_video,recall_video
2025-12-11T16:07:29,01_Zona_Con_Arma.mp4,YOLOv8n,150,0.67,4.25,4.28,225.23,2,1,1.0
2025-12-11T16:07:30,02_Zona_Con_Arma.mp4,YOLOv8n,150,0.56,3.61,3.64,268.49,0,0,0.0
2025-12-11T16:07:30,03_Zona_Con_Arma.mp4,YOLOv8n,150,0.61,3.95,3.99,245.36,50,1,1.0
2025-12-11T16:07:31,04_Zona_Con_Arma.mp4,YOLOv8n,150,0.65,4.2,4.25,229.76,15,1,1.0
2025-12-11T16:07:32,05_Zona_Con_Arma.mp4,YOLOv8n,150,0.56,3.61,3.64,268.11,3,1,1.0
2025-12-11T16:07:32,06_Zona_Con_Arma.mp4,YOLOv8n,150,0.57,3.7,3.74,261.58,19,1,1.0
2025-12-11T16:07:33,07_Zona_Con_Arma.mp4,YOLOv8n,150,0.61,3.94,3.98,245.5,3,1,1.0
2025-12-11T16:07:33,08_Zona_Con_Arma.mp4,YOLOv8n,150,0.55,3.58,3.6,271.37,6,1,1.0
2025-12-11T16:07:34,09_Zona_Con_Arma.mp4,YOLOv8n,150,0.54,3.4,3.43,278.99,10,1,1.0
2025-12-11T16:07:34,10_Zona_Con_Arma.mp4,YOLOv8n,150,0.51,3.22,3.25,295.18,10,1,1.0
2025-12-11T16:07:35,11_Zona_Con_Arma.mp4,YOLOv8n,149,0.5,3.19,3.22,297.48,0,0,0.0
2025-12-11T16:07:35,12_Zona_Con_Arma.mp4,YOLOv8n,150,0.54,3.39,3.42,280.16,46,1,1.0
2025-12-11T16:07:37,13_Zona_Con_Arma.mp4,YOLOv8n,319,1.31,3.85,3.88,243.55,84,1,1.0
2025-12-11T16:07:38,14_Zona_Con_Arma.mp4,YOLOv8n,320,1.32,3.85,3.88,243.09,16,1,1.0
2025-12-11T16:07:39,15_Zona_Con_Arma.mp4,YOLOv8n,324,1.34,3.86,3.9,242.3,2,1,1.0
2025-12-11T16:07:41,16_Zona_Con_Arma.mp4,YOLOv8n,324,1.39,4.01,4.05,233.57,218,1,1.0
2025-12-11T16:07:42,17_Zona_Con_Arma.mp4,YOLOv8n,326,1.34,3.85,3.88,243.47,101,1,1.0
2025-12-11T16:07:44,18_Zona_Con_Arma.mp4,YOLOv8n,337,1.47,4.08,4.12,229.75,227,1,1.0
2025-12-11T16:07:45,19_Zona_Con_Arma.mp4,YOLOv8n,334,1.39,3.91,3.94,239.76,151,1,1.0
2025-12-11T16:07:47,20_Zona_Con_Arma.mp4,YOLOv8n,335,1.46,4.07,4.11,230.23,159,1,1.0
2025-12-11T16:07:48,21_Zona_Con_Arma.mp4,YOLOv8n,342,1.4,3.84,3.88,243.65,0,0,0.0
2025-12-11T16:07:49,22_Zona_Con_Arma.mp4,YOLOv8n,344,1.49,4.05,4.09,231.2,154,1,1.0
2025-12-11T16:07:51,23_Zona_Con_Arma.mp4,YOLOv8n,345,1.45,3.94,3.97,238.22,89,1,1.0
2025-12-11T16:07:52,24_Zona_Con_Arma.mp4,YOLOv8n,350,1.43,3.83,3.86,244.13,0,0,0.0
2025-12-11T16:07:53,25_Zona_Con_Arma.mp4,YOLOv8n,150,0.57,3.7,3.74,261.41,59,1,1.0
2025-12-11T16:07:54,26_Zona_Con_Arma.mp4,YOLOv8n,150,0.63,3.99,4.03,239.83,68,1,1.0
2025-12-11T16:07:54,27_Zona_Con_Arma.mp4,YOLOv8n,150,0.56,3.56,3.59,269.61,0,0,0.0
2025-12-11T16:07:55,28_Zona_Con_Arma.mp4,YOLOv8n,150,0.55,3.54,3.57,273.88,6,1,1.0
2025-12-11T16:07:55,29_Zona_Con_Arma.mp4,YOLOv8n,150,0.53,3.46,3.49,280.42,0,0,0.0
2025-12-11T16:07:56,30_Zona_Con_Arma.mp4,YOLOv8n,150,0.54,3.5,3.53,277.34,13,1,1.0
2025-12-11T16:07:56,31_Zona_Con_Arma.mp4,YOLOv8n,150,0.52,3.38,3.41,287.34,0,0,0.0
2025-12-11T16:07:57,32_Zona_Con_Arma.mp4,YOLOv8n,150,0.54,3.5,3.53,277.37,57,1,1.0
2025-12-11T16:07:57,33_Zona_Con_Arma.mp4,YOLOv8n,150,0.54,3.47,3.49,280.24,21,1,1.0
2025-12-11T16:07:58,34_Zona_Con_Arma.mp4,YOLOv8n,150,0.52,3.38,3.41,287.32,1,1,1.0
2025-12-11T16:07:58,35_Zona_Con_Arma.mp4,YOLOv8n,150,0.52,3.39,3.41,286.97,0,0,0.0
2025-12-11T16:07:59,36_Zona_Con_Arma.mp4,YOLOv8n,150,0.53,3.43,3.46,282.71,19,1,1.0
2025-12-11T16:07:59,37_Zona_Con_Arma.mp4,YOLOv8n,150,0.52,3.4,3.42,285.91,21,1,1.0
2025-12-11T16:08:00,38_Zona_Con_Arma.mp4,YOLOv8n,150,0.52,3.39,3.42,286.15,21,1,1.0
2025-12-11T16:08:01,39_Zona_Con_Arma.mp4,YOLOv8n,150,0.56,3.61,3.65,268.55,89,1,1.0
2025-12-11T16:08:01,40_Zona_Con_Arma.mp4,YOLOv8n,150,0.55,3.56,3.59,273.06,3,1,1.0
