timestamp,video,modelo,frames_procesados,duracion_sec,latencia_inferencia_ms,latencia_total_ms,fps_promedio,frames_con_arma,tp_video,recall_video
2025-12-11T16:08:19,01_Zona_Con_Arma.mp4,YOLOv8x,150,4.22,27.99,28.04,35.54,7,1,1.0
2025-12-11T16:08:23,02_Zona_Con_Arma.mp4,YOLOv8x,150,3.86,25.62,25.66,38.82,3,1,1.0
2025-12-11T16:08:27,03_Zona_Con_Arma.mp4,YOLOv8x,150,3.93,25.94,26.01,38.21,106,1,1.0
2025-12-11T16:08:31,04_Zona_Con_Arma.mp4,YOLOv8x,150,3.94,26.01,26.07,38.02,7,1,1.0
2025-12-11T16:08:35,05_Zona_Con_Arma.mp4,YOLOv8x,150,3.95,26.02,26.09,37.98,5,1,1.0
2025-12-11T16:08:39,06_Zona_Con_Arma.mp4,YOLOv8x,150,3.97,26.21,26.29,37.76,114,1,1.0
2025-12-11T16:08:43,07_Zona_Con_Arma.mp4,YOLOv8x,150,3.95,26.05,26.11,37.99,25,1,1.0
2025-12-11T16:08:47,08_Zona_Con_Arma.mp4,YOLOv8x,150,3.96,26.1,26.16,37.86,1,1,1.0
2025-12-11T16:08:50,09_Zona_Con_Arma.mp4,YOLOv8x,150,3.32,21.74,21.81,45.18,9,1,1.0
2025-12-11T16:08:54,10_Zona_Con_Arma.mp4,YOLOv8x,150,3.29,21.63,21.69,45.55,9,1,1.0
2025-12-11T16:08:57,11_Zona_Con_Arma.mp4,YOLOv8x,149,3.28,21.67,21.73,45.43,1,1,1.0
2025-12-11T16:09:00,12_Zona_Con_Arma.mp4,YOLOv8x,150,3.31,21.71,21.78,45.34,22,1,1.0
2025-12-11T16:09:08,13_Zona_Con_Arma.mp4,YOLOv8x,319,7.72,23.74,23.81,41.34,90,1,1.0
2025-12-11T16:09:16,14_Zona_Con_Arma.mp4,YOLOv8x,320,7.74,23.75,23.82,41.33,33,1,1.0
2025-12-11T16:09:23,15_Zona_Con_Arma.mp4,YOLOv8x,324,7.8,23.63,23.69,41.54,4,1,1.0
2025-12-11T16:09:31,16_Zona_Con_Arma.mp4,YOLOv8x,324,7.82,23.76,23.83,41.44,210,1,1.0
2025-12-11T16:09:39,17_Zona_Con_Arma.mp4,YOLOv8x,326,7.83,23.65,23.71,41.64,77,1,1.0
2025-12-11T16:09:47,18_Zona_Con_Arma.mp4,YOLOv8x,337,8.26,24.0,24.08,40.78,229,1,1.0
2025-12-11T16:09:56,19_Zona_Con_Arma.mp4,YOLOv8x,334,8.18,23.94,24.02,40.83,156,1,1.0
2025-12-11T16:10:04,20_Zona_Con_Arma.mp4,YOLOv8x,335,8.18,23.91,23.99,40.94,134,1,1.0
2025-12-11T16:10:12,21_Zona_Con_Arma.mp4,YOLOv8x,342,8.29,23.75,23.82,41.23,33,1,1.0
2025-12-11T16:10:21,22_Zona_Con_Arma.mp4,YOLOv8x,344,8.42,23.94,24.02,40.84,160,1,1.0
2025-12-11T16:10:29,23_Zona_Con_Arma.mp4,YOLOv8x,345,8.44,23.88,23.95,40.9,82,1,1.0
2025-12-11T16:10:38,24_Zona_Con_Arma.mp4,YOLOv8x,350,8.5,23.76,23.83,41.19,1,1,1.0
2025-12-11T16:10:42,25_Zona_Con_Arma.mp4,YOLOv8x,150,4.0,26.31,26.38,37.52,45,1,1.0
2025-12-11T16:10:46,26_Zona_Con_Arma.mp4,YOLOv8x,150,4.02,26.43,26.52,37.34,109,1,1.0
2025-12-11T16:10:50,27_Zona_Con_Arma.mp4,YOLOv8x,150,3.97,26.15,26.22,37.8,9,1,1.0
2025-12-11T16:10:53,28_Zona_Con_Arma.mp4,YOLOv8x,150,3.99,26.25,26.32,37.62,4,1,1.0
2025-12-11T16:10:57,29_Zona_Con_Arma.mp4,YOLOv8x,150,3.99,26.23,26.31,37.63,1,1,1.0
2025-12-11T16:11:02,30_Zona_Con_Arma.mp4,YOLOv8x,150,4.04,26.59,26.68,37.12,150,1,1.0
2025-12-11T16:11:06,31_Zona_Con_Arma.mp4,YOLOv8x,150,3.98,26.19,26.26,37.69,2,1,1.0
2025-12-11T16:11:10,32_Zona_Con_Arma.mp4,YOLOv8x,150,3.99,26.26,26.33,37.6,1,1,1.0
2025-12-11T16:11:13,33_Zona_Con_Arma.mp4,YOLOv8x,150,3.99,26.25,26.33,37.61,8,1,1.0
2025-12-11T16:11:18,34_Zona_Con_Arma.mp4,YOLOv8x,150,4.01,26.39,26.47,37.39,42,1,1.0
2025-12-11T16:11:22,35_Zona_Con_Arma.mp4,YOLOv8x,150,3.99,26.31,26.38,37.55,10,1,1.0
2025-12-11T16:11:26,36_Zona_Con_Arma.mp4,YOLOv8x,150,3.99,26.28,26.35,37.56,5,1,1.0
2025-12-11T16:11:30,37_Zona_Con_Arma.mp4,YOLOv8x,150,4.01,26.35,26.43,37.45,2,1,1.0
2025-12-11T16:11:34,38_Zona_Con_Arma.mp4,YOLOv8x,150,4.01,26.36,26.43,37.41,19,1,1.0
2025-12-11T16:11:38,39_Zona_Con_Arma.mp4,YOLOv8x,150,3.99,26.27,26.34,37.59,1,1,1.0
2025-12-11T16:11:42,40_Zona_Con_Arma.mp4,YOLOv8x,150,4.01,26.39,26.47,37.37,12,1,1.0
